tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N561FX,NORDSTROM INC,a72b34,2024-11-12,2024-11-12 15:52:51+00:00,2024-11-12 18:08:07+00:00,135.3,KMDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-12,2024-11-12 01:25:06+00:00,2024-11-12 02:54:12+00:00,89.1,KPDK,DeKalb Peachtree Airport,Atlanta,US,33.87633,-84.30213,KMDW,Chicago Midway International Airport,Chicago,US,41.785999,-87.752403
N561FX,NORDSTROM INC,a72b34,2024-11-15,2024-11-15 20:17:44+00:00,2024-11-15 23:00:27+00:00,162.7,KOPF,Miami-Opa Locka Executive Airport,Miami,US,25.907,-80.278397,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984
N561FX,NORDSTROM INC,a72b34,2024-11-15,2024-11-15 13:23:03+00:00,2024-11-15 17:20:59+00:00,237.9,KISP,Long Island MacArthur Airport,Islip,US,40.796324,-73.101703,KOPF,Miami-Opa Locka Executive Airport,Miami,US,25.907,-80.278397
N561FX,NORDSTROM INC,a72b34,2024-11-14,2024-11-14 21:19:08+00:00,2024-11-14 22:54:18+00:00,95.2,,,,,,,KISP,Long Island MacArthur Airport,Islip,US,40.796324,-73.101703
N561FX,NORDSTROM INC,a72b34,2024-11-14,2024-11-14 18:11:55+00:00,2024-11-14 20:07:48+00:00,115.9,KADS,Addison Airport,Dallas,US,32.9686012268,-96.8364028931,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-14,2024-11-14 14:49:00+00:00,2024-11-14 15:11:29+00:00,22.5,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N561FX,NORDSTROM INC,a72b34,2024-11-14,2024-11-14 13:01:53+00:00,2024-11-14 13:31:20+00:00,29.4,,,,,,,6TE9,Mc Kenzie Field,Avinger,US,32.816799163800006,-94.616897583
N561FX,NORDSTROM INC,a72b34,2024-11-16,2024-11-16 20:40:47+00:00,2024-11-16 20:57:51+00:00,17.1,,,,,,,KMIA,Miami International Airport,Miami,US,25.796011,-80.289751
N561FX,NORDSTROM INC,a72b34,2024-11-16,2024-11-16 15:03:09+00:00,2024-11-16 17:18:49+00:00,135.7,KFRG,Republic Airport,East Farmingdale,US,40.728576,-73.414267,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-16,2024-11-16 13:12:55+00:00,2024-11-16 13:25:52+00:00,13.0,KHPN,Westchester County Airport,White Plains,US,41.06700134277344,-73.70760345458984,KFRG,Republic Airport,East Farmingdale,US,40.728576,-73.414267
N561FX,NORDSTROM INC,a72b34,2024-11-23,2024-11-23 01:24:19+00:00,2024-11-23 02:30:11+00:00,65.9,KSDL,Scottsdale Airport,Scottsdale,US,33.622898101807,-111.91100311279,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998
N561FX,NORDSTROM INC,a72b34,2024-11-22,2024-11-22 22:09:08+00:00,2024-11-23 00:31:58+00:00,142.8,KBFI,King County International Airport - Boeing Field,Seattle,US,47.527042,-122.29995,KSDL,Scottsdale Airport,Scottsdale,US,33.622898101807,-111.91100311279
N561FX,NORDSTROM INC,a72b34,2024-11-22,2024-11-22 16:31:42+00:00,2024-11-22 18:33:47+00:00,122.1,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998,KBFI,King County International Airport - Boeing Field,Seattle,US,47.527042,-122.29995
N561FX,NORDSTROM INC,a72b34,2024-11-22,2024-11-22 01:59:00+00:00,2024-11-22 02:44:39+00:00,45.6,KVGT,North Las Vegas Airport,Las Vegas,US,36.209074,-115.193982,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998
N561FX,NORDSTROM INC,a72b34,2024-11-25,2024-11-25 17:42:16+00:00,2024-11-25 18:30:28+00:00,48.2,KAUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-25,2024-11-25 15:29:07+00:00,2024-11-25 16:08:14+00:00,39.1,,,,,,,KAUS,Austin Bergstrom International Airport,Austin,US,30.197535,-97.662015
N561FX,NORDSTROM INC,a72b34,2024-11-24,2024-11-24 20:36:41+00:00,2024-11-25 01:03:52+00:00,267.2,KVNY,Van Nuys Airport,Van Nuys,US,34.209801,-118.489998,,,,,,
N561FX,NORDSTROM INC,a72b34,2024-11-27,2024-11-27 20:08:11+00:00,2024-11-27 21:57:56+00:00,109.8,KAGS,Augusta Regional At Bush Field,Augusta,US,33.3699,-81.9645,NH31,Mountain View Field,Wolfeboro,US,43.65010070800781,-71.14949798583984
N561FX,NORDSTROM INC,a72b34,2024-11-27,2024-11-27 17:35:01+00:00,2024-11-27 19:02:58+00:00,88.0,,,,,,,GE30,Sandy Hill Airport,Waynesboro,US,33.221099853515625,-81.99530029296875
N561FX,NORDSTROM INC,a72b34,2024-11-27,2024-11-27 15:24:33+00:00,2024-11-27 16:03:37+00:00,39.1,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KHOU,William P. Hobby Airport,Houston,US,29.645336,-95.276812
N561FX,NORDSTROM INC,a72b34,2024-11-26,2024-11-26 15:32:05+00:00,2024-11-26 16:46:05+00:00,74.0,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N561FX,NORDSTROM INC,a72b34,2024-11-29,2024-11-29 18:54:01+00:00,2024-11-29 19:12:48+00:00,18.8,KBDR,Igor I Sikorsky Memorial Airport,Bridgeport,US,41.163502,-73.126198,KTEB,Teterboro Airport,Teterboro,US,40.850101,-74.060799
N561FX,NORDSTROM INC,a72b34,2024-11-29,2024-11-29 16:46:15+00:00,2024-11-29 17:19:43+00:00,33.5,KBOS,Boston Logan International Airport,Boston,US,42.36197,-71.0079,KBDR,Igor I Sikorsky Memorial Airport,Bridgeport,US,41.163502,-73.126198
N561FX,NORDSTROM INC,a72b34,2024-11-28,2024-11-28 20:21:02+00:00,2024-11-28 22:08:32+00:00,107.5,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782,KBOS,Boston Logan International Airport,Boston,US,42.36197,-71.0079
N561FX,NORDSTROM INC,a72b34,2024-11-28,2024-11-28 17:16:07+00:00,2024-11-28 19:06:25+00:00,110.3,KBCT,Boca Raton Airport,Boca Raton,US,26.3785,-80.107697,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782
N561FX,NORDSTROM INC,a72b34,2024-11-28,2024-11-28 13:33:45+00:00,2024-11-28 16:35:58+00:00,182.2,KLCI,Laconia Municipal Airport,Laconia / Gilford,US,43.572701,-71.4189,KBCT,Boca Raton Airport,Boca Raton,US,26.3785,-80.107697
N561FX,NORDSTROM INC,a72b34,2024-12-01,2024-12-01 20:59:30+00:00,2024-12-01 22:12:05+00:00,72.6,,,,,,,KJWN,John C Tune Airport,Nashville,US,36.1824,-86.886703
N561FX,NORDSTROM INC,a72b34,2024-12-01,2024-12-01 17:36:36+00:00,2024-12-01 19:11:07+00:00,94.5,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782,K2Y4,Rockwell City Municipal Airport,Rockwell City,US,42.387612,-94.618444
N561FX,NORDSTROM INC,a72b34,2024-11-30,2024-11-30 19:04:55+00:00,2024-11-30 21:02:20+00:00,117.4,KPBI,Palm Beach International Airport,West Palm Beach,US,26.683201,-80.095596,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782
