tail_number,company_name,icao24,flight_date,departure_time,arrival_time,flight_duration_min,estDepartureAirport,dep_airport_name,dep_city,dep_country,dep_lat,dep_lon,estArrivalAirport,arr_airport_name,arr_city,arr_country,arr_lat,arr_lon
N1MU,Murphy USA Inc.,a00128,2024-11-21,2024-11-21 13:59:37+00:00,2024-11-21 14:45:49+00:00,46.2,KBNA,Nashville International Airport,Nashville,US,36.1245,-86.6782,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-11-24,2024-11-24 20:25:23+00:00,2024-11-24 21:02:12+00:00,36.8,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,AR22,Tommy's Flying Service Inc Airport,Sherrill,US,34.3815,-91.958504
N1MU,Murphy USA Inc.,a00128,2024-11-24,2024-11-24 19:12:27+00:00,2024-11-24 19:47:56+00:00,35.5,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-11-26,2024-11-26 17:58:33+00:00,2024-11-26 18:49:39+00:00,51.1,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-12-07,2024-12-07 15:16:16+00:00,2024-12-07 15:48:52+00:00,32.6,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-12-06,2024-12-06 21:53:42+00:00,2024-12-06 22:20:26+00:00,26.7,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-12-06,2024-12-06 20:47:59+00:00,2024-12-06 21:22:49+00:00,34.8,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-12-11,2024-12-11 20:01:34+00:00,2024-12-11 20:28:07+00:00,26.6,KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,32.896801,-97.038002,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-12-11,2024-12-11 18:43:05+00:00,2024-12-11 19:24:52+00:00,41.8,,,,,,,KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,32.896801,-97.038002
N1MU,Murphy USA Inc.,a00128,2024-12-11,2024-12-11 00:28:39+00:00,2024-12-11 00:53:14+00:00,24.6,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-12-10,2024-12-10 23:19:24+00:00,2024-12-10 23:56:41+00:00,37.3,,,,,,,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653
N1MU,Murphy USA Inc.,a00128,2024-12-10,2024-12-10 18:47:00+00:00,2024-12-10 19:02:56+00:00,15.9,KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,32.896801,-97.038002,,,,,,
N1MU,Murphy USA Inc.,a00128,2024-12-10,2024-12-10 16:22:10+00:00,2024-12-10 17:08:46+00:00,46.6,,,,,,,KDFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,32.896801,-97.038002
N1MU,Murphy USA Inc.,a00128,2024-12-12,2024-12-12 13:23:38+00:00,2024-12-12 14:45:35+00:00,82.0,KDAL,Dallas Love Field,Dallas,US,32.844776,-96.847653,KFTY,Fulton County Airport Brown Field,Atlanta,US,33.7790985107,-84.5214004517
