Date,Price,Open,High,Low,Vol.,Change %
11/21/24,22.37,22.25,22.41,22.1,859.77K,0.54%
11/20/24,22.25,22.32,22.62,22,1.69M,-1.85%
11/19/24,22.67,22.16,22.74,22.03,1.37M,1.66%
11/18/24,22.3,22.89,22.89,22.04,1.37M,-2.49%
11/15/24,22.87,22.84,23.13,22.8,1.43M,-0.65%
11/14/24,23.02,23.22,23.32,22.77,1.43M,-0.17%
11/13/24,23.06,23.15,23.6,23.01,1.38M,-0.13%
11/12/24,23.09,22.51,23.1,22.51,1.45M,1.99%
11/11/24,22.64,22.7,22.99,22.58,1.46M,0.53%
11/8/24,22.52,22.91,22.99,22.47,2.05M,-1.70%
11/7/24,22.91,22.5,23.19,22.4,1.47M,1.51%
11/6/24,22.57,23.38,23.54,22.28,1.70M,-0.66%
11/5/24,22.72,22.8,23.07,22.57,1.24M,-0.83%
11/4/24,22.91,22.45,23.03,22.45,1.35M,1.55%
11/1/24,22.56,22.69,22.93,22.49,1.61M,-0.22%
10/31/24,22.61,23.27,23.43,22.59,4.01M,-3.29%
10/30/24,23.38,23.56,23.91,22.94,1.94M,-1.10%
10/29/24,23.64,23.16,23.9,23.08,2.85M,1.81%
10/28/24,23.22,22.72,23.41,22.67,1.74M,2.16%
10/25/24,22.73,22.71,22.98,22.47,1.53M,0.84%
10/24/24,22.54,22.8,22.96,22.43,1.33M,-0.66%
10/23/24,22.69,23,23.3,22.66,1.27M,-1.90%
10/22/24,23.13,23.97,24,23.07,1.77M,-3.58%
10/21/24,23.99,24.62,24.83,23.91,1.82M,-2.76%
10/18/24,24.67,24.46,24.93,24.4,1.67M,0.86%
10/17/24,24.46,24.38,24.65,24.2,1.19M,0.16%
10/16/24,24.42,24.26,24.82,24.17,2.41M,1.41%
10/15/24,24.08,22.81,24.19,22.78,3.72M,5.11%
10/14/24,22.91,22.33,22.93,22.09,2.13M,2.51%
10/11/24,22.35,22.06,22.42,22.06,1.16M,1.78%
10/10/24,21.96,21.89,22.06,21.52,1.36M,0.09%
10/9/24,21.94,22.03,22.12,21.81,964.02K,-0.23%
10/8/24,21.99,21.95,22.24,21.75,1.51M,0.37%
10/7/24,21.91,21.89,21.97,21.56,1.70M,-0.27%
10/4/24,21.97,21.8,22.29,21.68,1.73M,2.33%
10/3/24,21.47,21.23,21.62,21.12,1.72M,0.23%
10/2/24,21.42,21.53,22,21.35,2.07M,-1.29%
10/1/24,21.7,22.39,22.41,21.69,1.90M,-3.51%
9/30/24,22.49,22.26,22.74,22.17,1.77M,1.31%
9/27/24,22.2,22.48,22.55,22.06,1.65M,-1.20%
9/26/24,22.47,22.54,22.64,21.95,3.37M,-0.75%
9/25/24,22.64,23.14,23.21,22.55,2.19M,-2.46%
9/24/24,23.21,23.05,23.55,22.85,2.78M,0.91%
9/23/24,23,22.87,23.12,22.47,1.98M,-0.09%
9/20/24,23.02,22.86,23.23,22.71,2.56M,0.48%
9/19/24,22.91,22.92,23,22.66,2.06M,1.55%
9/18/24,22.56,22.68,23.07,22.48,2.06M,0.00%
9/17/24,22.56,22.69,23.04,22.43,1.56M,0.09%
9/16/24,22.54,22.37,22.71,22.37,1.47M,0.63%
9/13/24,22.4,22.8,23.14,22.3,2.49M,-0.44%
9/12/24,22.5,22.02,22.52,22,1.25M,1.76%
9/11/24,22.11,22.12,22.17,21.7,2.14M,-0.58%
9/10/24,22.24,22.12,22.31,21.55,3.55M,0.72%
9/9/24,22.08,22.84,22.84,21.97,2.53M,-3.24%
9/6/24,22.82,22.22,22.83,22.19,2.06M,0.97%
9/5/24,22.6,23.01,23.28,22.54,4.01M,-0.79%
9/4/24,22.78,22.97,23.58,22.57,5.00M,-0.18%
9/3/24,22.82,21.97,22.88,21.84,3.11M,2.15%
8/30/24,22.34,22.25,22.52,22.05,3.77M,1.59%
8/29/24,21.99,22.11,22.51,21.78,3.26M,-0.18%
8/28/24,22.03,22,23.23,21.49,9.39M,4.21%
8/27/24,21.14,21.01,21.45,20.92,6.78M,-2.45%
8/26/24,21.67,21.76,21.86,21.44,2.59M,-0.28%
8/23/24,21.73,21.33,21.8,21.22,2.23M,2.74%
8/22/24,21.15,21.41,21.41,21.05,1.82M,-1.31%
8/21/24,21.43,22.06,22.42,21.06,2.95M,-3.16%
8/20/24,22.13,22.2,22.41,21.77,2.00M,-1.16%
8/19/24,22.39,22.77,22.89,22.34,1.69M,-1.76%
8/16/24,22.79,22.42,22.89,22.38,2.13M,1.33%
8/15/24,22.49,22.4,23,22.3,2.65M,4.51%
8/14/24,21.52,21.6,21.71,21.31,1.13M,-0.09%
8/13/24,21.54,21.72,21.84,21.42,1.75M,-0.28%
8/12/24,21.6,22.39,22.39,21.52,1.26M,-2.92%
8/9/24,22.25,22.15,22.43,21.76,1.31M,0.27%
8/8/24,22.19,21.64,22.22,21.37,1.43M,4.28%
8/7/24,21.28,21.87,22.2,21.25,2.09M,-0.98%
8/6/24,21.49,21.38,21.82,20.76,1.78M,1.51%
8/5/24,21.17,19.59,21.22,19.45,2.59M,0.19%
8/2/24,21.13,21.51,21.58,20.83,2.58M,-5.25%
8/1/24,22.3,22.98,23.16,21.92,2.04M,-2.32%
7/31/24,22.83,22.73,23.13,22.7,3.52M,1.33%
7/30/24,22.53,22.23,22.7,21.98,1.88M,1.95%
7/29/24,22.1,22.21,22.37,21.85,1.62M,-0.05%
7/26/24,22.11,21.32,22.14,21.25,1.67M,4.84%
7/25/24,21.09,21.07,21.53,20.92,2.54M,-0.05%
7/24/24,21.1,21.56,21.6,20.76,2.14M,-3.30%
7/23/24,21.82,22.03,22.32,21.79,1.82M,-0.95%
7/22/24,22.03,22.78,22.87,21.95,1.98M,-2.82%
7/19/24,22.67,23.23,23.32,22.62,1.28M,-2.41%
7/18/24,23.23,23.75,23.9,23.18,1.73M,-2.48%
7/17/24,23.82,23.37,24.03,23.19,1.70M,0.29%
7/16/24,23.75,23.11,23.8,22.9,3.08M,4.17%
7/15/24,22.8,22.64,23.2,22.23,2.40M,-2.90%
7/12/24,23.48,23.65,23.74,23.09,2.56M,0.38%
7/11/24,23.39,22.26,23.46,22.25,3.20M,6.80%
7/10/24,21.9,22.19,22.4,21.66,2.09M,-0.54%
7/9/24,22.02,21.33,22.11,21.33,1.85M,3.53%
7/8/24,21.27,21.94,21.98,21.25,1.95M,-2.57%
7/5/24,21.83,21.75,22.2,21.67,2.29M,1.06%
7/3/24,21.6,21.5,21.77,21.3,1.09M,0.70%
7/2/24,21.45,21.26,21.62,21.22,1.37M,0.94%
7/1/24,21.25,21.22,21.63,21.09,1.81M,0.14%
6/28/24,21.22,21.01,21.33,20.9,2.23M,0.47%
6/27/24,21.12,20.9,21.13,20.81,1.38M,-0.98%
6/26/24,21.33,20.97,21.41,20.97,1.50M,1.14%
6/25/24,21.09,21.52,21.55,21.07,1.32M,-1.95%
6/24/24,21.51,21.44,21.7,21.22,1.46M,0.99%
6/21/24,21.3,21.2,21.49,20.99,2.75M,0.47%
6/20/24,21.2,21.63,21.82,21.14,1.90M,-2.53%
6/18/24,21.75,21.7,21.88,21.44,1.19M,-0.28%
6/17/24,21.81,21.08,21.82,20.71,1.99M,3.61%
6/14/24,21.05,21.15,21.6,21.05,2.53M,-1.96%
6/13/24,21.47,21.46,21.64,21.08,1.40M,-0.28%
6/12/24,21.53,21.62,22.02,21.42,2.32M,2.28%
6/11/24,21.05,21.08,21.13,20.77,1.65M,-0.75%
6/10/24,21.21,21.32,22,21.2,2.12M,-1.35%
6/7/24,21.5,21.09,21.62,21.08,2.88M,1.27%
6/6/24,21.23,22.19,22.19,21.08,2.38M,-4.54%
6/5/24,22.24,22.52,22.58,21.55,2.69M,-0.22%
6/4/24,22.29,22.4,22.59,22.13,2.24M,-3.13%
6/3/24,23.01,22.28,23.54,22.28,5.90M,4.12%
5/31/24,22.1,21.58,22.31,20.29,8.05M,5.09%
5/30/24,21.03,21.19,21.43,20.78,5.34M,-2.23%
5/29/24,21.51,21.3,21.52,21.04,3.45M,-0.14%
5/28/24,21.54,21.61,21.68,21.31,2.18M,0.09%
5/24/24,21.52,21.51,21.67,21.27,2.12M,0.84%
5/23/24,21.34,21.46,21.53,21.02,1.71M,0.05%
5/22/24,21.33,21.18,21.41,20.91,1.75M,0.61%
5/21/24,21.2,21.16,21.33,20.97,1.83M,0.47%
5/20/24,21.1,21.16,21.42,21.05,2.43M,-0.71%
5/17/24,21.25,21.2,21.37,21.02,1.75M,0.24%
5/16/24,21.2,21.48,21.61,20.85,2.53M,-1.44%
5/15/24,21.51,21.97,22.1,21.3,2.52M,-1.28%
5/14/24,21.79,21.68,21.8,21.26,3.74M,3.12%
5/13/24,21.13,20.72,21.87,20.6,4.21M,2.67%
5/10/24,20.58,20.43,20.64,20.25,2.10M,1.43%
5/9/24,20.29,19.96,20.41,19.89,2.06M,1.55%
5/8/24,19.98,19.67,20,19.45,1.83M,0.40%
5/7/24,19.9,20.43,20.5,19.89,2.24M,-1.83%
5/6/24,20.27,20.41,20.76,20.1,2.83M,0.85%
5/3/24,20.1,20.18,20.49,19.9,2.40M,0.60%
5/2/24,19.98,19.28,20.48,19.07,4.15M,6.22%
