Date,Price,Open,High,Low,Vol.,Change %
11/29/24,63.82,63.39,64.28,63.08,1.01M,0.17%
11/27/24,63.71,62.82,64.2,62.82,1.42M,1.19%
11/26/24,62.96,62.81,63.34,62.67,1.33M,-0.82%
11/25/24,63.48,62.79,63.91,62.79,1.80M,2.90%
11/22/24,61.69,61.37,62.4,61.21,1.70M,1.11%
11/21/24,61.01,59.67,61.11,59.4,1.32M,2.07%
11/20/24,59.77,60.47,60.84,59.48,1.65M,-1.39%
11/19/24,60.61,60.18,60.8,59.6,1.90M,-0.26%
11/18/24,60.77,60.89,61.48,60.44,1.58M,0.12%
11/15/24,60.7,61.48,61.77,60.44,1.00M,-1.41%
11/14/24,61.57,61.25,62.25,61.25,1.48M,0.79%
11/13/24,61.09,61.3,62.1,60.93,1.49M,0.54%
11/12/24,60.76,60.99,61.72,60.12,1.60M,-0.41%
11/11/24,61.01,62.71,62.9,60.8,2.00M,-2.05%
11/8/24,62.29,62.91,63.64,62.21,1.85M,-2.20%
11/7/24,63.69,62.51,64.1,62.35,2.18M,3.29%
11/6/24,61.66,63.26,63.69,60.31,3.26M,-2.22%
11/5/24,63.06,61.9,63.11,61.51,1.33M,1.74%
11/4/24,61.98,62.62,63.53,61.95,2.64M,-0.99%
11/1/24,62.6,61.62,62.83,61.6,1.99M,1.85%
10/31/24,61.46,61.6,62.16,60.81,2.06M,-0.18%
10/30/24,61.57,61.05,61.74,61.05,2.53M,0.15%
10/29/24,61.48,61.11,61.92,60.81,2.20M,-0.61%
10/28/24,61.86,60.32,62.58,60.06,3.92M,4.48%
10/25/24,59.21,64.73,65.02,59.03,6.65M,-3.93%
10/24/24,61.63,62.44,62.67,61.2,3.39M,-0.06%
10/23/24,61.67,62.17,62.39,60.91,2.50M,-1.39%
10/22/24,62.54,62,62.57,61.77,2.49M,0.29%
10/21/24,62.36,62.83,62.91,61.98,1.86M,-1.19%
10/18/24,63.11,62.48,63.12,61.91,2.04M,1.79%
10/17/24,62,63.08,63.32,61.79,2.61M,-1.13%
10/16/24,62.71,63.58,63.65,62.51,2.50M,-0.73%
10/15/24,63.17,64.47,65.8,63.11,2.80M,-2.98%
10/14/24,65.11,66.11,66.74,64.77,2.41M,-3.63%
10/11/24,67.56,66.85,68.15,66.85,1.50M,0.73%
10/10/24,67.07,65.31,67.15,65.14,1.60M,1.71%
10/9/24,65.94,65.96,66.63,65.24,1.30M,-0.09%
10/8/24,66,66,66.5,65.11,1.44M,-0.30%
10/7/24,66.2,68.2,68.61,65.66,1.44M,-3.41%
10/4/24,68.54,66.43,68.54,66.29,2.66M,5.24%
10/3/24,65.13,65.47,65.87,64.67,1.13M,-1.79%
10/2/24,66.32,65.89,66.77,65.66,1.38M,-0.94%
10/1/24,66.95,66.8,67.11,65.78,1.44M,0.04%
9/30/24,66.92,68.18,68.31,66.63,1.57M,-2.28%
9/27/24,68.48,69.33,69.39,68.11,1.62M,-1.08%
9/26/24,69.23,67.61,69.6,67.04,2.85M,5.73%
9/25/24,65.48,66.21,66.59,65.07,2.08M,0.75%
9/24/24,64.99,63.75,65.9,63.75,2.44M,3.00%
9/23/24,63.1,62.66,64.43,62.64,3.18M,0.14%
9/20/24,63.01,62.29,64.11,62.08,8.19M,2.36%
9/19/24,61.56,69.58,69.69,59.39,9.18M,-9.62%
9/18/24,68.11,68.25,69.65,67.67,1.32M,0.25%
9/17/24,67.94,68.44,69.08,67.76,1.13M,0.12%
9/16/24,67.86,67.5,68.14,67.04,1.67M,0.83%
9/13/24,67.3,66.84,67.85,66.5,1.46M,1.43%
9/12/24,66.35,65.78,66.53,65.22,1.14M,1.11%
9/11/24,65.62,64.88,65.64,63.76,1.14M,1.17%
9/10/24,64.86,65.83,66.06,63.93,1.86M,-1.76%
9/9/24,66.02,66.14,67.15,65.94,1.59M,-0.09%
9/6/24,66.08,67.16,67.84,65.79,1.35M,-1.91%
9/5/24,67.37,67.54,68.08,66.99,1.24M,-0.03%
