company_name,event_date,event_type,car_3day,flight_date,days_before,dep_city,dep_lat,dep_lon,arr_city,arr_lat,arr_lon
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-02,14,Phoenix,33.435302,-112.005905,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-01,15,St Louis,38.662102,-90.652,Phoenix,33.435302,-112.005905
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-01,15,,,,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-03,13,,,,New Richmond,45.1483,-92.538101
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-08,8,St Louis,38.662102,-90.652,Pittsburgh,40.491501,-80.232903
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-08,8,,,,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-10,6,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-10,6,,,,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-09,7,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-09,7,Columbus,40.0798,-83.072998,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-09,7,Clinton,40.539199829100006,-80.4131011963,Columbus,40.0798,-83.072998
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-11,5,Columbus,40.0798,-83.072998,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-15,1,Dallas,33.177898,-96.5905,Aurora,36.962299,-93.695297
Great Southern Bancorp Inc,2024-10-16,Earnings,0.0141830008323073,2024-10-15,1,,,,McKinney,33.245493,-96.565834
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-02,15,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-02,15,Phoenix,33.435302,-112.005905,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-01,16,St Louis,38.662102,-90.652,Phoenix,33.435302,-112.005905
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-01,16,,,,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-03,14,,,,New Richmond,45.1483,-92.538101
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-08,9,St Louis,38.662102,-90.652,Pittsburgh,40.491501,-80.232903
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-08,9,,,,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-10,7,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-10,7,,,,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-09,8,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-09,8,Columbus,40.0798,-83.072998,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-09,8,Clinton,40.539199829100006,-80.4131011963,Columbus,40.0798,-83.072998
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-11,6,Columbus,40.0798,-83.072998,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-16,1,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-16,1,,,,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-16,1,St Louis,38.662102,-90.652,,,
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-16,1,,,,St Louis,38.662102,-90.652
Great Southern Bancorp Inc,2024-10-17,Earnings,-0.0105324018175636,2024-10-15,2,Dallas,33.177898,-96.5905,Aurora,36.962299,-93.695297
